Net: Toplevel network.,Parameter Value,Distance,Acer Swift 3,ASUS ROG Zephyrus G14,Dell XPS 15,Lenovo ThinkPad P16,"MacBook Pro 16""",Microsoft Surface Laptop Studio,p0 of Acer Swift 3,p0 of ASUS ROG Zephyrus G14,p0 of Dell XPS 15,p0 of Lenovo ThinkPad P16,"p0 of MacBook Pro 16""",p0 of Microsoft Surface Laptop Studio,Ranking Acer Swift 3,Ranking ASUS ROG Zephyrus G14,Ranking Dell XPS 15,Ranking Lenovo ThinkPad P16,"Ranking MacBook Pro 16""",Ranking Microsoft Surface Laptop Studio,Dist: Taxi Cab,Dist: Avg % difference with known,Dist: Avg % difference without known,Dist: Max of differences,Dist: Max of % differences with known,Dist: Max of % differences without known,Dist: Max % change,Dist: Average % change,Dist: Rank distance 1
ASUS ROG Zephyrus G14:lower,0.100000,0.800000,0.140634,0.036222,0.172547,0.274417,0.202095,0.174085,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,5.000000,6.000000,4.000000,1.000000,2.000000,3.000000,0.289776,0.283879,0.360041,0.144888,0.800000,1.333333,4.000000,0.817212,8.000000
Dell XPS 15:lower,0.100000,0.800000,0.130376,0.205859,0.028949,0.264348,0.202572,0.167896,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,5.000000,2.000000,6.000000,1.000000,3.000000,4.000000,0.231591,0.246059,0.327805,0.115796,0.800000,1.333333,4.000000,0.779392,2.000000
Lenovo ThinkPad P16:lower,0.100000,0.800000,0.131773,0.229340,0.184781,0.046616,0.223898,0.183591,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,5.000000,1.000000,3.000000,6.000000,2.000000,4.000000,0.372931,0.331097,0.398299,0.186466,0.800000,1.333333,4.000000,0.864430,10.000000
"MacBook Pro 16"":lower",0.100000,0.800000,0.131636,0.205514,0.172910,0.273571,0.035656,0.180713,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,5.000000,2.000000,4.000000,1.000000,6.000000,3.000000,0.285245,0.278356,0.355278,0.142622,0.800000,1.333333,4.000000,0.811689,6.000000
Microsoft Surface Laptop Studio:lower,0.100000,0.800000,0.131022,0.205043,0.165475,0.261899,0.207050,0.029511,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,5.000000,3.000000,4.000000,1.000000,2.000000,6.000000,0.236086,0.249571,0.330827,0.118043,0.800000,1.333333,4.000000,0.782904,6.000000
Connectivity & Expandability:lower,0.100000,0.031559,0.117808,0.183559,0.146983,0.231326,0.172652,0.147672,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,0.014765,0.015207,0.015220,0.005626,0.031559,0.032065,0.032588,0.015388,0.000000
Cost Considerations:lower,0.100000,0.279222,0.083056,0.154030,0.141531,0.272841,0.203454,0.145088,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,1.000000,2.000000,4.000000,0.129869,0.129909,0.135752,0.039759,0.279222,0.324529,0.387389,0.152449,2.000000
Display Quality:lower,0.100000,0.097954,0.126135,0.194914,0.144311,0.229933,0.160815,0.143891,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,4.000000,1.000000,3.000000,5.000000,0.049416,0.051687,0.051417,0.017463,0.097954,0.102999,0.108591,0.053598,2.000000
Performance Capabilities:lower,0.100000,0.323481,0.148908,0.181469,0.144796,0.157684,0.203548,0.163594,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,5.000000,2.000000,6.000000,4.000000,1.000000,3.000000,0.150795,0.144755,0.146449,0.075398,0.323481,0.385896,0.478156,0.170534,8.000000
Portability Factors:lower,0.100000,0.105627,0.105524,0.188233,0.145544,0.257702,0.161361,0.141636,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,4.000000,1.000000,3.000000,5.000000,0.065084,0.061619,0.062149,0.024620,0.105627,0.100328,0.105627,0.064848,2.000000
Graphics Processing (GPU):lower,0.100000,0.128678,0.121161,0.157805,0.148410,0.229611,0.191297,0.151715,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,1.000000,2.000000,4.000000,0.053552,0.053598,0.054329,0.023305,0.128678,0.137527,0.147682,0.056802,2.000000
Memory (RAM):lower,0.100000,0.051123,0.111722,0.190369,0.142643,0.238188,0.174469,0.142609,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,4.000000,1.000000,3.000000,5.000000,0.028729,0.028813,0.028791,0.009259,0.051123,0.049849,0.051123,0.029279,2.000000
Processor (CPU):lower,0.100000,0.043860,0.115804,0.189054,0.145245,0.229359,0.174160,0.146378,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,0.018033,0.016554,0.016466,0.007944,0.043860,0.042919,0.043860,0.016699,0.000000
Storage:lower,0.100000,0.017113,0.113999,0.181226,0.143804,0.234084,0.176808,0.150079,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,0.007286,0.007915,0.007908,0.002525,0.017113,0.016968,0.017113,0.007952,0.000000
Battery Life:lower,0.100000,0.211163,0.139564,0.191111,0.141968,0.232157,0.156519,0.138681,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,5.000000,2.000000,4.000000,1.000000,3.000000,6.000000,0.068666,0.078619,0.076676,0.024333,0.211163,0.190997,0.211163,0.082153,4.000000
Weight & Form Factor:lower,0.100000,0.105581,0.103065,0.176110,0.146133,0.233545,0.189157,0.151990,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,1.000000,2.000000,4.000000,0.034333,0.039309,0.039971,0.012166,0.105581,0.111466,0.118045,0.041517,2.000000
