Net: Toplevel network.,Parameter Value,Score,Raw Score,Acer Swift 3,ASUS ROG Zephyrus G14,Dell XPS 15,Lenovo ThinkPad P16,"MacBook Pro 16""",Microsoft Surface Laptop Studio,p0 of Acer Swift 3,p0 of ASUS ROG Zephyrus G14,p0 of Dell XPS 15,p0 of Lenovo ThinkPad P16,"p0 of MacBook Pro 16""",p0 of Microsoft Surface Laptop Studio,Ranking Acer Swift 3,Ranking ASUS ROG Zephyrus G14,Ranking Dell XPS 15,Ranking Lenovo ThinkPad P16,"Ranking MacBook Pro 16""",Ranking Microsoft Surface Laptop Studio,Dist: Taxi Cab,Dist: Avg % difference with known,Dist: Avg % difference without known,Dist: Max of differences,Dist: Max of % differences with known,Dist: Max of % differences without known,Dist: Max % change,Dist: Average % change,Dist: Rank distance 1
Dell XPS 15:lower,0.409766,0.935812,0.819531,0.118648,0.186693,0.118623,0.240135,0.183758,0.152143,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,5.000000,3.000000,6.000000,2.000000,4.000000,0.867186,0.216991,0.386338,0.819531,1.000000,2.000000,1.000000,0.223614,10.000000
Lenovo ThinkPad P16:lower,0.411406,0.937059,0.822813,0.118895,0.191792,0.153612,0.191783,0.188382,0.155535,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,2.000000,5.000000,3.000000,4.000000,0.897429,0.230984,0.399593,0.822813,1.000000,2.000000,1.000000,0.237343,10.000000
"MacBook Pro 16"":lower",0.430068,0.951019,0.860137,0.118099,0.185377,0.149669,0.240161,0.153343,0.153351,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,3.000000,5.000000,2.000000,4.000000,0.904209,0.208783,0.376935,0.860137,1.000000,2.000000,1.000000,0.212574,10.000000
Microsoft Surface Laptop Studio:lower,0.491895,0.994567,0.983789,0.115551,0.181595,0.145165,0.233666,0.178861,0.145162,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,3.000000,5.000000,2.000000,4.000000,0.986181,0.169022,0.335685,0.983789,1.000000,2.000000,1.000000,0.169022,10.000000
Connectivity & Expandability:lower,0.000000,0.000000,-0.000000,0.094258,0.161179,0.126527,0.247374,0.224070,0.146591,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,5.000000,3.000000,4.000000,1.000000,2.000000,0.119205,0.289348,0.289685,0.045792,1.000000,1.000000,0.256855,0.134719,2.000000
Cost Considerations:lower,0.478291,0.985313,0.956582,0.113485,0.179641,0.144570,0.235240,0.179644,0.147420,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,4.000000,5.000000,2.000000,3.000000,0.963497,0.173566,0.340246,0.956582,1.000000,2.000000,1.000000,0.173616,10.000000
Display Quality:lower,0.151709,0.671966,0.303418,0.124725,0.193130,0.144367,0.230340,0.163072,0.144365,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,3.000000,5.000000,2.000000,4.000000,0.343257,0.208070,0.374484,0.303418,1.000000,2.000000,1.000000,0.209420,10.000000
Performance Capabilities:lower,0.454492,0.968691,0.908984,0.119063,0.181151,0.144750,0.224504,0.181153,0.149379,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,4.000000,5.000000,2.000000,3.000000,0.924315,0.181074,0.347744,0.908984,1.000000,2.000000,1.000000,0.181308,10.000000
Portability Factors:lower,0.332656,0.872989,0.665312,0.111170,0.184090,0.145079,0.243382,0.171201,0.145078,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,3.000000,5.000000,2.000000,4.000000,0.690065,0.189649,0.356373,0.665312,1.000000,2.000000,1.000000,0.190137,10.000000
Graphics Processing (GPU):lower,0.468789,0.978744,0.937578,0.115694,0.179292,0.145031,0.232811,0.179294,0.147879,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,4.000000,5.000000,2.000000,3.000000,0.941432,0.170482,0.337153,0.937578,1.000000,2.000000,1.000000,0.170499,10.000000
Memory (RAM):lower,0.104687,0.593802,0.209375,0.111763,0.190261,0.142668,0.238128,0.174514,0.142667,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,2.000000,6.000000,3.000000,5.000000,1.000000,4.000000,0.232881,0.189622,0.356174,0.209375,1.000000,2.000000,1.000000,0.189889,8.000000
Processor (CPU):lower,0.000000,0.000000,-0.000000,0.059401,0.120599,0.140886,0.376507,0.170713,0.131894,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,5.000000,4.000000,3.000000,1.000000,2.000000,0.271189,0.417174,0.430243,0.143424,1.000000,1.000000,0.939895,0.354780,4.000000
Storage:lower,0.000000,0.000000,-0.000000,0.094599,0.177667,0.168245,0.323289,0.176463,0.059737,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,5.000000,2.000000,4.000000,1.000000,3.000000,0.139598,0.292937,0.283420,0.090207,1.000000,1.000000,0.387020,0.132857,0.000000
Battery Life:lower,0.315566,0.857775,0.631133,0.126451,0.185721,0.143464,0.232656,0.168245,0.143463,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,3.000000,5.000000,2.000000,4.000000,0.658703,0.198296,0.364434,0.631133,1.000000,2.000000,1.000000,0.198869,10.000000
Weight & Form Factor:lower,0.428594,0.949931,0.857187,0.113059,0.180218,0.144992,0.233165,0.180220,0.148346,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,4.000000,5.000000,2.000000,3.000000,0.862525,0.172789,0.339478,0.857187,1.000000,2.000000,1.000000,0.172854,10.000000
